vendor_name,total_payment,projects,avg_cost,avg_risk,dataset_version
JAIPUR VIDYUT VITRAN NIGAM LIMITED,2191248.0,1,2191248.0,18.07,V1
Ms Krishna Traders,2177781.0,3,725927.0,47.38,V1
UNITED FENCE SYSTEMS,2152251.0,2,1076125.5,34.685,V1
SOBIN SABU,2150279.0,1,2150279.0,17.42,V1
VIDYA SINGH,2147355.0,35,61353.0,55.41,V1
J K D V PRASADA RAJU,2137740.0,3,712580.0,46.29,V1
DARSH BUILDCON,2129535.0,3,709845.0,45.910000000000004,V1
The Golden Cooperative society ltd,2112233.0,6,352038.8333333333,48.73166666666666,V1
BADRI PRASAD,2107807.0,1,2107807.0,17.42,V1
Jai Bholenath Majoor Sahakari Sanstha Maryadit,2098407.0,1,2098407.0,25.72,V1
ASSISTANT ENGINEER HAYAGHAT,2087811.0,3,695937.0,46.67666666666667,V1
PRAYAG ENTERPRISES,2032924.0,1,2032924.0,23.93,V1
Rajasthan Electronics And Instruments Limited,2000000.0,2,1000000.0,33.88,V1
SAHAYA THATHEYOUSH S,2000000.0,1,2000000.0,16.73,V1
Kandhasamy N,2000000.0,1,2000000.0,16.73,V1
JAYALAKSHMI BUILDERS,2000000.0,1,2000000.0,16.73,V1
Amiya Ku Das,2000000.0,3,666666.6666666666,45.56333333333333,V1
PRATIBHA PRATISHTHAN,1999844.0,1,1999844.0,16.73,V1
RLatha,1999836.0,1,1999836.0,16.73,V1
SIR VISHVESHWARAYYA SUSHIKSHIT BEROJGARABHIYANTA SEVA,1999000.0,1,1999000.0,16.73,V1
PINDI UMA LAKSHMANA KUMAR,1998834.0,4,499708.5,48.31,V1
Jai Hanuman Co Op Lcs Ltd,1998482.0,1,1998482.0,37.79,V1
RENUKA CO OP LABOUR SOCIETY LIMITED,1998482.0,1,1998482.0,33.14,V1
Mahendra Jagannath Lokhande,1998481.0,1,1998481.0,25.05,V1
Jai hind penting plumber road v building works majur,1981405.0,1,1981405.0,16.87,V1
tushar satish rawale,1980203.0,2,990101.5,34.03,V1
PUTALAI MAJOR SAHAKARI SANSTHA MARYAD NAVISHEMALI,1978912.0,2,989456.0,34.03,V1
SHREE SHYAM ENTERPRISES,1977205.0,2,988602.5,34.03,V1
Giridhar Digambar PatilDakore,1975637.0,1,1975637.0,16.87,V1
K S Construction,1967994.0,1,1967994.0,16.87,V1
