mp_key,mp_name,state,constituency,projects_analyzed,total_recommended,total_sanctioned,total_expenditure,total_cost_overrun,average_risk_score,max_risk_score,high_risk_projects,critical_projects,anomaly_projects,utilization_pct,risk_category
BHARATBHAI MANUBHAI SUTARIYA,BHARATBHAI MANUBHAI SUTARIYA,Gujarat,AMRELI,2,0.0,600000.0,3607870.0,3307870.0,16.875,27.52,0,0,1,601.3116666666667,Low
ANAND BHADAURIYA,ANAND BHADAURIYA,Uttar Pradesh,DHAURAHRA,1,0.0,1000000.0,0.0,0.0,16.76,16.76,0,0,0,0.0,Low
KALIPADA SAREN,KALIPADA SAREN,West Bengal,JHARGRAM(ST),2,5930740.0,5930740.0,0.0,0.0,16.73,17.52,0,0,0,0.0,Low
ANTO ANTONY,Anto Antony,Kerala,PATHANAMTHITTA,6,3587631.0,2417190.0,801857.0,0.0,16.546666666666667,30.99,0,0,1,33.17310596188136,Low
JITENDRA SINGH,Jitendra Singh,Jammu And Kashmir,UDHAMPUR,2,0.0,469169.0,2251969.0,2083969.0,16.025,27.18,0,0,1,479.99100537333027,Low
RAJU BISTA,Raju Bista,West Bengal,DARJEELING,4,1752119.0,1987274.0,1483321.0,498196.0,16.0125,24.15,0,0,2,74.6409906233363,Low
ARUP CHAKRABORTY,ARUP CHAKRABORTY,West Bengal,BANKURA,1,0.0,4020731.0,0.0,0.0,15.99,15.99,0,0,0,0.0,Low
PRALHAD VENKATESH JOSHI,Pralhad Venkatesh Joshi,Karnataka,DHARWAD,2,895320.0,995031.0,3788911.0,3288911.0,15.835,27.05,0,0,1,380.7832117793315,Low
MANNA LAL RAWAT,MANNA LAL RAWAT,Rajasthan,UDAIPUR(ST),2,1093000.0,1200000.0,1719695.0,719695.0,15.715,27.1,0,0,1,143.30791666666667,Low
GM HARISH BALAYOGI,GM Harish Balayogi,Andhra Pradesh,AMALAPURAM(SC),1,3507771.0,3507771.0,0.0,0.0,15.49,15.49,0,0,0,0.0,Low
SMT S JOTHIMANI,Smt S Jothimani,Tamil Nadu,KARUR,1,0.0,137500.0,199966.0,62466.0,15.45,15.45,0,0,1,145.42981818181818,Low
JANARDAN MISHRA,Janardan Mishra,Madhya Pradesh,REWA,1,0.0,3663450.0,0.0,0.0,14.95,14.95,0,0,0,0.0,Low
K SUBBARAYAN,K Subbarayan,Tamil Nadu,TIRUPPUR,4,3833574.0,7630059.0,0.0,0.0,14.892500000000002,25.35,0,0,0,0.0,Low
SASIKANTH SENTHIL,Sasikanth Senthil,Tamil Nadu,TIRUVALLUR(SC),2,434216.0,1085066.0,1557710.0,917549.0,14.854999999999999,22.33,0,0,1,143.55900931371917,Low
GURMEET SINGH MEET HAYER,GURMEET SINGH MEET HAYER,Punjab,SANGRUR,1,300000.0,300000.0,0.0,0.0,14.77,14.77,0,0,0,0.0,Low
RAKIBUL HUSSAIN,RAKIBUL HUSSAIN,Assam,DHUBRI,3,1500000.0,1500000.0,1921593.0,1199986.0,14.540000000000001,26.34,0,0,1,128.1062,Low
RAHUL GANDHI,RAHUL GANDHI,Uttar Pradesh,RAE BARELI,1,500000.0,500000.0,331291.0,0.0,14.47,14.47,0,0,1,66.2582,Low
SHATRUGHAN SINHA,Shatrughan Sinha,West Bengal,ASANSOL,2,0.0,7496000.0,0.0,0.0,14.175,23.71,0,0,0,0.0,Low
