constituency,budget,expenditure,projects,utilization_pct
KHUNTI(ST),500000.0,0.0,1,0.0
KHEDA,450000.0,0.0,1,0.0
KHAGARIA,1962059.0,0.0,2,0.0
PATNA SAHIB,68653.0,0.0,1,0.0
RAMPUR,200502.0,0.0,1,0.0
RAJNANDGAON,2499475.0,0.0,1,0.0
RAJKOT,1138978.0,0.0,2,0.0
RAJGARH,16277075.0,0.0,2,0.0
PATIALA,80000.0,0.0,1,0.0
PURVI CHAMPARAN,1482448.0,0.0,1,0.0
PARBHANI,1699154.0,0.0,2,0.0
PALI,2257000.0,0.0,1,0.0
VAISHALI,5000000.0,0.0,1,0.0
VADODARA,625000.0,0.0,1,0.0
SHAHJAHANPUR(SC),37908000.0,0.0,1,0.0
SHAHDOL (ST),1000000.0,0.0,1,0.0
SASARAM(SC),700000.0,0.0,1,0.0
RAVER,2999928.0,0.0,1,0.0
RANCHI,255800.0,0.0,1,0.0
SANGRUR,300000.0,0.0,1,0.0
REWA,3663450.0,0.0,1,0.0
PERAMBALUR,1570000.0,0.0,2,0.0
BANGALORE SOUTH,2499434.0,0.0,2,0.0
BANKA,1995127.0,0.0,1,0.0
BALURGHAT,300000.0,0.0,1,0.0
BANDA,226698.0,0.0,1,0.0
BANGALORE CENTRAL,4739506.0,0.0,1,0.0
VILUPPURAM(SC),600000.0,0.0,1,0.0
SIKKIM,5000000.0,0.0,1,0.0
SIKAR,290931.0,0.0,1,0.0
SHIRUR,2499187.0,0.0,3,0.0
BARASAT,13589911.0,0.0,4,0.0
BANKURA,4020731.0,0.0,1,0.0
BANSWARA(ST),300000.0,0.0,1,0.0
SITAPUR,1731818.0,0.0,2,0.0
AMALAPURAM(SC),3507771.0,0.0,1,0.0
ARAKKONAM,996610.0,0.0,1,0.0
AONLA,46470400.0,0.0,1,0.0
AMRITSAR,700000.0,0.0,1,0.0
AMROHA,1492916.0,0.0,1,0.0
TENKASI(SC),4482079.0,0.0,2,0.0
ARAKU(ST),1394400.0,0.0,1,0.0
AGRA(SC),264075.0,0.0,1,0.0
YAVATMAL-WASHIM,500000.0,0.0,1,0.0
